Inoculum;Substrat;Temperature;TS;VS;COD;Ammonia;VFA;Alkalinity;TN;TKN;BD_CH4;k_exp;k_con;t_80;Chao1;ACE;Shannon;Simpson
I2;SS;1;19,7;11,3;24,09;968,5;2,02;3,95;2,29;2,26;79,4;0,33;0,35;6,3;160,1818182;158,6736105;3,985136715;0,963029333
I3;SS;1;35,2;17,4;28,29;2023;2,37;6,1;3,06;2,94;66,92;0,08;0,1;14;110,4375;111,8697324;3,757238768;0,942041778
I1;SS;0;19,67;10,62;14,41;1842;2,42;5,56;2,4;2,31;83,51;0,06;0,07;20;107,0666667;109,8136351;3,673110826;0,952187556
I2;SS;0;19,82;11,25;18,57;1192;2,07;3,75;2,51;2,45;77,13;0,74;0,81;3;174,84;176,8877121;4,396986176;0,974126222
I3;SS;0;34,37;20,87;34,02;1914;1,82;4,89;3,27;3,1;82,77;0,67;0,91;3;103;98,33762386;3,787386241;0,964671111
