#OTU ID;I1_meso;I2_meso;I2_thermo;I3_meso;I3_thermo
56da3551f7fd7f64bd67a33ab7184911;0;0;0;0,263019463;0
0e86efdc08432fc329a61a6f8a7fc71b;0;0;0;0,105207785;0,115473441
b2d8c23b9462d20a0de0dfc500c7729d;0;0;0;0;0,115473441
be89b5d460b5654282a351c0e573a2c6;0,407105848;0;0;0;0
8cc35b16ab18729aa673aa0b23304afa;0;0;0;0,157811678;0
07befdfc9607a494e400f77708ac311f;0,074019245;0;0;0;0
645c91d9956fb572dda7bb1d4fd9aaaf;0;0;0;0;0
886c2ff75d13364900c91c4c186c3f95;0;0;0;0;0
62b7427e1388d5c990ed91b1b1f894c7;0;0;0;0;0
afb7bc542beb23ab269e3b76afd87351;0;0,548446069;0;0;0
31c0202443e3728abcf335ceaef2313d;0;0,438756856;0;0;0
7ccd89b3d757e98e3fd9796117ca9aed;0;0,073126143;0;0;0
842f2e4f8abb0bfa9423e4cb29534c0e;0;0,182815356;0;0;0
7068e5d2f4b269df198b4adb8269084c;0;0,438756856;0;0;0
c376d4b7d42990777b35ce3ad3e39a7a;0;0,219378428;0;0;0
8243f52676be643d1864c12639dd944c;0;0;0,208840933;0;0
552d63f167e2687ba9c514177af00810;0;0,255941499;0;0;0
5add6702458ce4f13a83a573c6c6e180;0;0,146252285;0;0;0
3e364552d5b28368cc605fb0e4eb5a80;0;0,511882998;0;0;0
7846f8ad304199432a540a20a2b7ff77;0;0,585009141;0;0;0
3081c53d6fdfac7eb1bb3bfe86efbd7a;0;0,548446069;0,069613644;0;0
548214524f4b2bf84d4f153cb17994f3;0;0;0,139227289;0;0
5977fba62942c39c96a86b9c0956e4ea;0;0;0,069613644;0;0
90815f13521b7b225f0095590eb23cd9;0;0;0;0;0,461893764
6f0e4165db4629668eabec857eeaca59;0;0;0;0;0,230946882
93aaa856cb70adb7941dfb0f011c4258;0;0,182815356;0;0;0
30208b9f770ec60cfa92c8a8cfd67077;0;1,901279707;0,348068221;0;0
4d7ec2fa84adbf5a18e3c1078cbe82e0;0;0,548446069;0;0;0
9c1ada54de5358a237f397d4151dbdf2;0;0,255941499;0,139227289;0;0
be01287f6931a920a219e1b912ee633c;0;0,182815356;0;0;0
c43dc6448b1d4422e5591525261f9c94;0;0,621572212;0;0;0
9f9f4ccdacb1099246c00c833c93d76e;0;0;0,208840933;0;0
c6dd23ab169bb9a15444c938fdf1f2cf;0;0,29250457;0;0;0
ca32c61bb8b022b6b87817a83f21ee62;0;0,109689214;0;0;0
24602699ba2c082480b7221effa55da3;0;0,146252285;0;0;0
3332bc53b24be3fbab88d4fb403d9137;0;0,219378428;0,069613644;0;0
c84f7f790e361a2f2f0d8b28aa346352;0;0,255941499;0,48729551;0,210415571;0,346420323
1e94b7b53ac7808a2cb5928cdf215a77;0;0;0,243647755;0;0
4f6f970ade3f05ebeabae823072fd925;0;0,182815356;0,208840933;0;0
d7adbc7bf4576e616545790918e411c8;0;0;0,452488688;0;0
c21ee1e2dc9a4f8c6c50c0150eb35736;0;0;0;0,841662283;0
01c2e0d57fe4bb1b54fb9da6ce0e2460;0;0;0;1,946344029;0
8f2a5fbc547c6a1d3b17bd3dd9eb6138;0;0,146252285;0;0;0
acfd911ba28e849b03509b34cf70e8b2;0;0,109689214;0,174034111;0;0
5701da246ae5f7d4e8d5dca320ed5d1c;0;0;0,870170553;0;0
0a74fd4b7c3811f89139b4cdba9f9f10;0;0;0;0;0
2933627bd88611baf430cc8afeea645f;0;0,804387569;0,243647755;0;0,404157044
3ad68b76b3691f6d1a190cac43f9dfd6;0;0,109689214;0,139227289;0;0
b7dd97ae76dcc24eb8a505f9638885f9;0;0,731261426;0,174034111;0;0,577367206
289324c4e3a612a189c5394864f6418b;0;0;0,174034111;0;0
9108afac48c009c8da0a9590be86f1f5;0;0,255941499;0;0;0,288683603
33100b9d982029b9f1a7e6f4dbb755a5;0;0;0;0;0,288683603
bc1072b2be31609eb48ecd757790de31;0;0;0;0,105207785;0
d4c13d8537f685e853088103f0b46390;0,222057735;0;0;0;0
be1ea8d474b7217cbbde2b79e36b233f;0,14803849;0;0;0;0
d22372e167a04fb1c69d2a5bdea8cde9;0,074019245;0;0;0;0
65eda38ac2bce424bbdd8b0c9efbe6fa;0;0;0;0;0,230946882
5975a6d1207043851d41091fab766424;0;0;0,069613644;0;0
ff1dbdbe1b4489b73175b11a3ee783ea;1,295336788;0;0;0;0
19ade6d54ee3aeb726e4535931c61c64;0,962250185;0;0;0;0
cb4f49f871b3c6b3336c5c019a6f7609;1,221317543;0;0;0;0
1a097f579632f9f4f60e46a5a57b85d8;1,110288675;0;0;0;0
eb17b2f91a5ac9d5040c9f3c5e10356b;0,333086603;0;0;0;0
a458a4c778a8f86ee548160978580d5b;0,185048113;0;0;0;0
7669ceda51c0b42f144e9269328184ef;0;0,109689214;0;0;0
472574b16fb009573381bf3eb756fa5b;0;5,447897623;1,809954751;0;0
97ea41db1558c1cb47e42b436d899ff9;0;1,499085923;0,591715976;0;0
49723980bf4b0f55b3a647086374e83c;0;0,219378428;0;0;0
fcf3aa3425544d0615fda4a88aa5cb7b;0;0;0;0;0
3a96ae87c4be37f608cd4cc564f84172;0;0;0,069613644;0;0
baedf2772123b88724d58e33220cf409;0;0;0;0;0,692840647
3ac96280ebf523c26997c7cd75a80d77;0;0;0;0;0,346420323
cbb98d1429fa4e64b51c02804c2b9f8f;0;0;0,765750087;0;0
56794f3fdb33c911fe13a54002bc776e;0;0;0;0,105207785;0
2ae062de4d5cba914ce550aecee06a6e;0;0;0;0;0,115473441
f135b0099962ebe3fa1d6033dfe1e837;0;0;0,104420466;0;0
ea62adfd0b57e241ad61a77197406355;0;0;0;0,526038927;0
f524e9d7fd79f6d5f2a033de6fe716b1;0;0;0,069613644;0;0
bc6edfe72ab7dbc1f9db5ec83634ba76;0,407105848;0;0;0;0
9c884247c1cba87a08297301baf33258;0;0;0;0,263019463;0
52d50dcdda821bd930240972490a5a9e;0,851221318;0;0;0;0
f64536889554a2edffaa851886938857;0,518134715;0;0;0;0
539968592d15ef0feecc2f7c427ac415;0;0,548446069;0,313261399;0;0
d2807bd63623f4de0ccf54da6453e3e8;0;0,109689214;0;0;0
f25cfcfcf8b4243e0b5a8842c1fc2494;0;0;0;0;0,461893764
e1dd6657b6b32ec5281ddc2fe9db0af5;0;0;0,069613644;0;0
9daed9e2648d9485073ab589369a46fe;0;0;0;0,368227249;0
8d1c33309ed4647d7cb7489c171c5e64;0;0,073126143;0;0;0
cf92367f953c83b2ffba05e8a835b6a8;0;0;0;0,263019463;0
